time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
3190.0000 -0.2037 -0.1356 0.2115 2.8338 2.7825 2.8470
3200.0000 -0.1141 -0.0854 0.1187 2.6217 2.7236 2.7227
3210.0000 -0.0685 -0.0992 0.0230 2.9199 2.7604 2.8023
3220.0000 -0.0301 -0.0823 0.1694 2.8296 2.7343 2.6972
3230.0000 -0.0610 -0.1868 0.0275 2.8615 2.6973 2.7625
3240.0000 -0.0409 -0.2170 0.0596 2.7284 2.6308 2.7077
3250.0000 0.0442 -0.1143 0.0443 2.6844 2.8929 2.7514
3260.0000 -0.0288 -0.1595 0.0305 2.7826 2.7826 2.8081
3270.0000 -0.1156 -0.0880 0.1151 2.7842 2.7799 2.8665
3280.0000 0.0024 -0.0917 0.0639 2.7335 2.7330 2.8722
3290.0000 -0.0157 -0.1141 0.1914 2.8748 2.8038 2.8174
3300.0000 -0.0998 -0.0297 0.1118 2.8666 2.8694 2.9221
3310.0000 -0.1788 -0.1223 0.0809 2.7711 2.7317 2.8129
3320.0000 -0.0513 -0.0580 0.0779 2.6948 2.8112 2.8443
3330.0000 -0.0577 -0.0447 0.0546 2.7977 2.7010 2.8568
3340.0000 -0.2311 -0.0084 -0.1108 2.8192 2.7890 2.8860
3350.0000 -0.3413 -0.0288 -0.0138 2.9154 2.8405 2.7173
3360.0000 -0.2023 0.0680 0.0714 2.8201 2.7952 2.7598
3370.0000 -0.0187 -0.0352 0.0917 2.7793 2.8056 2.7443
3380.0000 -0.0087 0.1613 0.0104 2.6754 2.8337 2.8777
3390.0000 -0.0812 0.0786 -0.0784 2.8528 3.0153 2.7751
3400.0000 -0.1435 -0.0346 0.1145 2.8207 2.6743 2.6580
3410.0000 -0.0791 -0.0867 0.1593 2.8560 2.8115 2.8062
3420.0000 -0.0039 -0.0954 0.1278 2.7456 2.7988 2.7266
3430.0000 -0.1368 -0.1038 0.1198 2.7966 2.7782 2.8551
3440.0000 -0.0692 -0.1933 0.1402 2.5670 2.7311 2.7409
3450.0000 -0.0767 -0.0560 0.0263 2.5307 2.7734 2.8449
3460.0000 -0.0268 0.0193 0.0933 2.5102 2.7805 2.7748
3470.0000 -0.0128 0.0299 0.0206 2.5161 2.8024 2.8812
3480.0000 0.0675 0.0319 0.1122 2.7153 2.7595 2.8545
3490.0000 0.0109 0.0356 0.0728 2.9153 2.6884 2.7422
3500.0000 -0.1041 0.0265 0.0403 2.6656 2.8162 2.7768
3510.0000 0.0401 0.0617 0.0652 2.8517 2.7340 2.6770
3520.0000 0.0352 0.0619 0.0850 2.6507 2.6735 2.7293
3530.0000 -0.1317 0.0836 0.0846 2.6483 2.6374 2.6099
3540.0000 -0.0873 0.1715 0.0234 2.7168 2.6900 2.5812
3550.0000 -0.0522 0.0667 -0.0159 2.6899 2.7026 2.6781
3560.0000 -0.0038 0.0035 0.0915 2.6972 2.7755 2.4740
3570.0000 -0.1375 0.0798 0.0437 2.5964 2.4827 2.4742
3580.0000 -0.0385 0.0950 0.0418 2.6123 2.5690 2.6225
3590.0000 -0.0566 -0.0249 0.0655 2.6588 2.7268 2.6883
